,FM_defect4ml044_faulty
MM_defect4ml044_GF_0.01_1,0.0612 (unreliable)
MM_defect4ml044_GF_0.1_1,0.0158 (unreliable)
MM_defect4ml044_GF_0.2_1,0.0736 (unreliable)
MM_defect4ml044_GF_0.6_1,0.0077 (unreliable)
MM_defect4ml044_GF_1.0_1,0.0081 (reliable)
MM_defect4ml044_LA_0.01_1,0.0197 (unreliable)
MM_defect4ml044_LD_0.01_1,0.0000 (unreliable)
MM_defect4ml044_LR_0.01_1,0.0000 (unreliable)
MM_defect4ml044_NAI_0.01_1,0.1586 (unreliable)
MM_defect4ml044_NAI_0.1_1,0.0043 (unreliable)
MM_defect4ml044_NAI_0.2_1,0.0029 (reliable)
MM_defect4ml044_NEB_0.01_1,0.0221 (unreliable)
MM_defect4ml044_NEB_0.1_1,0.0169 (reliable)
MM_defect4ml044_NEB_0.2_1,0.0098 (unreliable)
MM_defect4ml044_NS_0.01_1,0.0138 (unreliable)
MM_defect4ml044_NS_0.1_1,0.0060 (unreliable)
MM_defect4ml044_NS_0.2_1,0.0067 (unreliable)
MM_defect4ml044_NS_0.6_1,0.0029 (reliable)
MM_defect4ml044_NS_1.0_1,0.0027 (reliable)
MM_defect4ml044_WS_0.01_1,0.0248 (unreliable)
MM_defect4ml044_WS_0.1_1,0.0155 (reliable)
MM_defect4ml044_WS_0.2_1,0.0116 (reliable)
