,FM_deeplocalize010_faulty
MM_deeplocalize010_original0_GF_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original0_LA_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original0_LD_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original0_LR_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original0_NAI_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original0_NEB_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original0_NS_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original0_WS_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original1_GF_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original1_LA_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original1_LD_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original1_LR_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original1_NAI_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original1_NEB_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original1_NS_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original1_WS_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original2_GF_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original2_LA_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original2_LD_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original2_LR_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original2_NAI_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original2_NEB_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original2_NS_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original2_WS_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original3_GF_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original3_LA_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original3_LD_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original3_LR_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original3_NAI_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original3_NEB_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original3_WS_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original4_GF_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original4_LA_0.01_1,0.2000 (reliable)
MM_deeplocalize010_original4_LD_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original4_LR_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original4_NAI_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original4_NEB_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original4_NS_0.01_1,0.0000 (reliable)
MM_deeplocalize010_original4_WS_0.01_1,0.0000 (reliable)
