,FM_deepfd006_faulty
MM_deepfd006_GF_0.01_1,0.07658321060382917
MM_deepfd006_LD_0.01_1,0.0
MM_deepfd006_LR_0.01_1,0.0
MM_deepfd006_NAI_0.01_1,0.0
MM_deepfd006_NAI_0.1_1,0.0029455081001472753
MM_deepfd006_NAI_0.2_1,0.0
MM_deepfd006_NEB_0.01_1,0.0
MM_deepfd006_NEB_0.1_1,0.07658321060382917
MM_deepfd006_NEB_0.2_1,0.0029455081001472753
MM_deepfd006_NS_0.01_1,0.0
MM_deepfd006_NS_0.1_1,0.0
MM_deepfd006_NS_0.2_1,0.0
MM_deepfd006_NS_0.6_1,0.07658321060382917
MM_deepfd006_WS_0.01_1,0.0
MM_deepfd006_WS_0.1_1,0.0
MM_deepfd006_WS_0.2_1,0.0
