,FM_defect4ml074_faulty
MM_defect4ml074_original0_GF_0.01_1,0.9767441860465115
MM_defect4ml074_original0_LA_0.01_1,0.9705882352941176
MM_defect4ml074_original0_NAI_0.01_1,0.9705882352941176
MM_defect4ml074_original0_NEB_0.01_1,0.9743589743589743
MM_defect4ml074_original1_GF_0.01_1,1.0
MM_defect4ml074_original1_LA_0.01_1,1.0
MM_defect4ml074_original1_NAI_0.01_1,1.0
MM_defect4ml074_original1_NEB_0.01_1,1.0
MM_defect4ml074_original1_NS_0.01_1,0.9800000000000001
MM_defect4ml074_original1_WS_0.01_1,1.0
MM_defect4ml074_original2_GF_0.01_1,0.978723404255319
MM_defect4ml074_original2_LA_0.01_1,0.9767441860465115
MM_defect4ml074_original2_NAI_0.01_1,0.9782608695652175
MM_defect4ml074_original2_NEB_0.01_1,0.9777777777777779
MM_defect4ml074_original2_NS_0.01_1,0.9800000000000001
MM_defect4ml074_original2_WS_0.01_1,0.9800000000000001
MM_defect4ml074_original3_GF_0.01_1,0.9782608695652173
MM_defect4ml074_original3_LA_0.01_1,0.9782608695652173
MM_defect4ml074_original3_NAI_0.01_1,0.9782608695652173
MM_defect4ml074_original3_NEB_0.01_1,0.9782608695652173
MM_defect4ml074_original4_GF_0.01_1,0.9800000000000001
MM_defect4ml074_original4_LA_0.01_1,1.0
MM_defect4ml074_original4_NAI_0.01_1,1.0
MM_defect4ml074_original4_NEB_0.01_1,1.0
